               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055166,            0.022808,            0.043219,            0.087456,             0.41287,             0.11811,            0.063962,            0.020728,            0.004501,            0.017828,            0.070216,           0.0033094,           0.0033094
                   1,            0.036677,            0.015175,            0.039259,             0.34805,             0.69544,             0.43636,             0.20722,            0.016192,           0.0031722,            0.014244,             0.04015,           0.0065769,           0.0065769
                   2,             0.03506,            0.012708,            0.030624,             0.59621,             0.69963,             0.68005,             0.30298,            0.015054,           0.0033058,           0.0092976,            0.010018,           0.0097785,           0.0097785
                   3,            0.032437,            0.011943,            0.021783,             0.71919,             0.76865,             0.81507,             0.46792,            0.010524,           0.0029879,           0.0061745,            0.009703,            0.009703,            0.009703
                   4,            0.027601,            0.011348,            0.014945,             0.85183,             0.93125,             0.92006,             0.59361,           0.0087488,           0.0033122,           0.0046545,            0.009703,            0.009703,            0.009703
                   5,             0.02731,            0.010679,            0.012768,             0.77907,             0.81622,             0.83431,             0.53117,            0.010418,           0.0035059,           0.0063854,            0.009604,            0.009604,            0.009604
                   6,             0.02507,            0.010772,            0.012172,             0.92234,             0.91828,             0.95496,             0.66067,            0.008226,           0.0026067,           0.0035911,            0.009505,            0.009505,            0.009505
                   7,            0.024195,            0.010521,            0.012585,             0.95598,             0.96568,             0.97724,             0.77361,           0.0063831,           0.0024962,           0.0014916,            0.009406,            0.009406,            0.009406
                   8,            0.022497,            0.010375,            0.010068,             0.93663,             0.91809,             0.96076,             0.74945,           0.0065519,           0.0027959,           0.0022275,            0.009307,            0.009307,            0.009307
                   9,             0.02373,            0.010118,            0.011298,             0.94028,             0.96866,             0.98037,             0.76238,           0.0075106,           0.0025411,           0.0018587,            0.009208,            0.009208,            0.009208
                  10,            0.024155,           0.0097323,           0.0090405,             0.97829,             0.96364,             0.98215,             0.80514,           0.0058256,           0.0023822,           0.0015668,            0.009109,            0.009109,            0.009109
                  11,            0.022903,           0.0096856,           0.0093956,             0.82541,             0.73842,             0.83186,             0.66142,           0.0060628,           0.0032764,           0.0090006,             0.00901,             0.00901,             0.00901
                  12,            0.021724,           0.0098721,           0.0096461,             0.97868,             0.98933,             0.98641,             0.81473,           0.0055648,           0.0023633,           0.0007583,            0.008911,            0.008911,            0.008911
                  13,             0.02144,           0.0097975,           0.0098285,             0.87585,             0.90515,             0.91695,             0.65963,            0.006692,           0.0039968,           0.0020775,            0.008812,            0.008812,            0.008812
                  14,            0.020131,           0.0091356,           0.0066456,             0.96679,             0.94597,             0.97614,             0.85212,           0.0048169,           0.0019756,            0.001732,            0.008713,            0.008713,            0.008713
                  15,             0.01917,           0.0091117,           0.0055489,             0.96918,             0.97914,             0.98814,             0.81279,           0.0059089,           0.0019411,          0.00094492,            0.008614,            0.008614,            0.008614
                  16,            0.020823,           0.0088535,            0.007294,             0.98485,              0.9885,             0.98591,             0.83348,           0.0051056,           0.0019292,          0.00063589,            0.008515,            0.008515,            0.008515
                  17,            0.020946,           0.0090358,           0.0071026,             0.96961,             0.96751,             0.97834,             0.82361,           0.0051884,           0.0020925,           0.0014288,            0.008416,            0.008416,            0.008416
                  18,            0.018763,            0.008889,           0.0061032,             0.98466,             0.97941,             0.98792,             0.85973,           0.0045464,            0.001873,          0.00073307,            0.008317,            0.008317,            0.008317
                  19,            0.020373,           0.0087695,           0.0077136,             0.89833,             0.89635,             0.92456,             0.67838,           0.0072757,           0.0035656,           0.0023765,            0.008218,            0.008218,            0.008218
                  20,             0.01956,           0.0090986,           0.0064175,             0.94811,             0.93569,             0.97412,              0.8462,           0.0050836,           0.0019052,           0.0023505,            0.008119,            0.008119,            0.008119
                  21,            0.019486,            0.009081,           0.0073488,             0.96872,             0.98048,             0.98969,             0.85481,           0.0047855,           0.0019777,           0.0010227,             0.00802,             0.00802,             0.00802
                  22,            0.018965,           0.0088799,           0.0077905,             0.92073,              0.9257,             0.96634,             0.83856,           0.0044799,            0.002408,           0.0029769,            0.007921,            0.007921,            0.007921
                  23,            0.019152,           0.0088165,           0.0082938,             0.97196,             0.97764,             0.98653,             0.86901,           0.0041885,           0.0020021,          0.00091439,            0.007822,            0.007822,            0.007822
                  24,            0.019622,           0.0087714,           0.0067261,             0.98597,             0.98782,             0.98718,             0.88025,           0.0045087,            0.001748,          0.00047599,            0.007723,            0.007723,            0.007723
                  25,            0.018142,           0.0088318,           0.0065394,             0.98138,             0.98703,             0.98622,             0.87556,           0.0040726,           0.0017694,          0.00046064,            0.007624,            0.007624,            0.007624
                  26,            0.018519,           0.0086979,           0.0060477,             0.96488,             0.96551,              0.9826,             0.87726,           0.0038846,           0.0017675,           0.0011916,            0.007525,            0.007525,            0.007525
                  27,            0.018192,           0.0086131,           0.0065095,             0.98715,             0.98755,             0.98637,             0.86693,           0.0039347,           0.0017683,          0.00039393,            0.007426,            0.007426,            0.007426
                  28,            0.020469,           0.0085132,           0.0047608,             0.98359,             0.98711,             0.98696,             0.87765,           0.0038059,           0.0017664,          0.00051405,            0.007327,            0.007327,            0.007327
                  29,            0.018012,           0.0082757,           0.0059363,              0.9816,             0.98149,              0.9876,             0.88654,           0.0037495,           0.0018055,          0.00048526,            0.007228,            0.007228,            0.007228
                  30,            0.017637,            0.008373,           0.0046282,             0.98402,             0.98299,             0.98717,             0.88047,           0.0039318,           0.0017991,           0.0005589,            0.007129,            0.007129,            0.007129
                  31,            0.016556,           0.0083933,           0.0042854,             0.98955,             0.98894,             0.98902,             0.88913,           0.0038827,           0.0016186,          0.00032949,             0.00703,             0.00703,             0.00703
                  32,            0.018735,           0.0082521,           0.0044788,             0.98692,             0.99202,             0.98894,             0.88499,           0.0040261,           0.0017062,          0.00030783,            0.006931,            0.006931,            0.006931
                  33,            0.016159,           0.0080829,           0.0054118,             0.98319,              0.9883,             0.98855,             0.89304,           0.0036558,           0.0017229,          0.00047941,            0.006832,            0.006832,            0.006832
                  34,              0.0164,           0.0082279,            0.004846,             0.98974,             0.99185,              0.9909,               0.888,           0.0037181,           0.0015964,           0.0002546,            0.006733,            0.006733,            0.006733
                  35,            0.016142,           0.0082025,           0.0039209,             0.99347,             0.98855,              0.9884,             0.89299,           0.0036099,           0.0017056,          0.00024907,            0.006634,            0.006634,            0.006634
                  36,            0.016409,           0.0080853,           0.0051241,             0.98702,             0.98863,             0.98629,             0.89233,           0.0039734,           0.0016751,          0.00041652,            0.006535,            0.006535,            0.006535
                  37,            0.019017,           0.0081659,           0.0062499,             0.98866,             0.99226,             0.98769,             0.90221,           0.0037224,           0.0016145,          0.00021229,            0.006436,            0.006436,            0.006436
                  38,             0.01633,           0.0078528,            0.004477,             0.98824,             0.99003,             0.98873,             0.90358,           0.0034832,           0.0015877,          0.00029759,            0.006337,            0.006337,            0.006337
                  39,            0.015505,           0.0079618,           0.0043498,              0.9888,             0.99183,             0.98837,              0.8895,           0.0037301,           0.0016412,          0.00019196,            0.006238,            0.006238,            0.006238
                  40,            0.015611,           0.0079396,           0.0043694,             0.99026,             0.99054,             0.98821,             0.89268,           0.0036381,           0.0015617,          0.00026371,            0.006139,            0.006139,            0.006139
                  41,            0.016455,           0.0077925,           0.0053765,             0.98823,             0.99174,             0.98957,             0.89063,           0.0037203,           0.0016267,          0.00026399,             0.00604,             0.00604,             0.00604
                  42,            0.015538,           0.0077262,           0.0042761,             0.99045,             0.98784,             0.98775,             0.89558,           0.0036622,           0.0016709,          0.00015143,            0.005941,            0.005941,            0.005941
                  43,            0.015811,            0.007724,           0.0044473,             0.98574,             0.99089,             0.98951,             0.89148,           0.0034982,            0.001634,          0.00026125,            0.005842,            0.005842,            0.005842
                  44,            0.015422,           0.0076557,           0.0045313,             0.98923,              0.9924,             0.99033,             0.89592,           0.0034866,           0.0016059,          0.00019027,            0.005743,            0.005743,            0.005743
                  45,            0.016022,           0.0076386,           0.0036909,             0.98948,             0.99114,             0.98848,              0.9022,           0.0032556,           0.0015292,          0.00022431,            0.005644,            0.005644,            0.005644
                  46,            0.016055,           0.0076395,           0.0045268,             0.98073,             0.98502,             0.98895,              0.8971,           0.0033813,           0.0015941,          0.00042744,            0.005545,            0.005545,            0.005545
                  47,             0.01416,           0.0075102,           0.0028876,              0.9887,             0.99174,             0.99003,             0.90516,           0.0031464,           0.0015564,          0.00013566,            0.005446,            0.005446,            0.005446
                  48,            0.014945,           0.0074641,           0.0036743,             0.99043,             0.98948,             0.99013,             0.91141,           0.0033946,           0.0015582,          0.00016359,            0.005347,            0.005347,            0.005347
                  49,            0.015329,           0.0075162,           0.0028754,             0.99042,              0.9911,             0.99011,             0.91295,            0.003188,           0.0015102,          0.00014599,            0.005248,            0.005248,            0.005248
                  50,            0.015236,           0.0076226,           0.0033535,             0.79019,             0.87835,             0.96434,             0.87657,           0.0034146,           0.0016699,           0.0069145,            0.005149,            0.005149,            0.005149
                  51,            0.015145,           0.0076098,           0.0039992,             0.99007,             0.99142,             0.98902,             0.90074,           0.0034659,           0.0015535,           0.0001488,             0.00505,             0.00505,             0.00505
                  52,             0.01441,           0.0075688,           0.0028607,             0.98826,              0.9924,             0.98968,             0.90538,           0.0032861,           0.0015305,          0.00015448,            0.004951,            0.004951,            0.004951
                  53,            0.014316,           0.0071948,           0.0037713,              0.9867,             0.99219,             0.98975,             0.90558,           0.0033881,           0.0015536,          0.00015769,            0.004852,            0.004852,            0.004852
                  54,            0.016004,           0.0074333,           0.0044736,             0.92549,             0.94658,             0.97113,             0.88703,           0.0034219,           0.0015724,           0.0025605,            0.004753,            0.004753,            0.004753
                  55,            0.013239,           0.0073174,           0.0038749,             0.99071,             0.99169,             0.98839,             0.90772,           0.0031874,           0.0015661,          0.00012215,            0.004654,            0.004654,            0.004654
